,mean,max,25%,50%,75%,95%,std
1290B2050,268.6620091324201,711.3999999999997,188.2,254.80000000000004,340.0,444.0999999999999,99.48544472045756
1290A0030,191.19644977168952,523.8,134.20000000000002,177.7,240.3,322.8049999999999,71.65387201039731
1290B2040,200.21881278538817,498.0999999999999,143.775,184.9,250.50000000000009,337.40499999999986,73.68313040216795
1290B2060,182.41417808219177,576.0999999999999,122.5,170.90000000000003,231.2,319.90000000000003,75.82720276069449
1290B3010,221.394098173516,573.8,159.20000000000002,204.30000000000004,277.725,368.8099999999999,79.80123029317917
1290B3020,158.85341324200914,441.7999999999998,108.97500000000001,148.15,202.2,273.6,63.94415135324915
1290C1030,182.83317351598177,512.2,128.175,170.0,231.32500000000002,309.60499999999996,69.10128740457742
1290C1160,164.08164383561646,616.6,108.50000000000004,152.40000000000003,207.6,297.8049999999999,72.31177871116974
1290C1010,134.28987442922374,565.3,83.7,122.60000000000002,170.70000000000002,260.50999999999993,66.27155675056505
1290A0040,247.2189497716895,678.8999999999996,174.10000000000002,231.0,311.5,412.2049999999997,91.36917549512249
1290A0060,107.84440639269408,302.2,75.60000000000001,100.85,135.4,189.70000000000005,44.21374592713137
1290C1020,250.04654109589043,614.2999999999997,178.60000000000002,231.80000000000007,312.3,416.805,90.31312201770511
1290C1040,142.62859589041096,474.6,94.375,130.9,181.6,255.80000000000004,61.99424843845193
1290C1050,240.7970890410959,580.1999999999999,170.8,221.00000000000003,304.4,401.60499999999985,87.13130001803366
1290C1060,157.35414383561647,578.0999999999999,101.2,145.70000000000002,201.10000000000005,294.2099999999999,73.52380673975071
1290C1070,189.41017123287673,624.1,124.20000000000005,177.8,240.20000000000005,338.31999999999977,81.65296945834737
1290C1100,151.68163242009132,477.30000000000007,101.8,139.45000000000002,193.00000000000003,267.0199999999997,63.87455477813944
1290A0050,215.78647260273976,531.8,152.8,200.95000000000005,271.225,360.60499999999985,78.97243615768662
1290C1090,155.1158904109589,437.19999999999993,108.70000000000002,144.8,194.22500000000002,266.10499999999996,60.191013799901654
1290C1130,127.5507191780822,417.69999999999993,87.1,118.35,160.52500000000003,225.1,52.32451703930402
1290C1080,183.96930365296802,648.5,122.8,173.10000000000002,233.85000000000002,327.705,78.53328680358732
1290C1120,162.86923515981735,680.5,107.6,152.5,207.02500000000006,291.6149999999998,71.29109826430931
1290C1140,129.15399543379,488.0,87.0,119.3,163.5,230.02499999999964,55.193632662143585
1290A0070,137.4863812785388,428.2,94.075,127.20000000000005,173.80000000000004,240.9000000000001,56.59230958329521
1290C1110,211.28446347031965,533.0,151.10000000000002,195.95000000000005,264.125,354.39999999999986,77.60851039305965
1290C1170,145.04286529680365,495.1,97.9,134.5,184.1,257.6,61.430372365319286
1290C1150,169.6540867579909,566.3000000000001,111.37500000000001,159.15000000000003,217.10000000000002,306.32499999999965,74.70799722351532
1290B4010,218.73308219178082,585.8999999999999,154.325,203.80000000000004,275.82500000000005,366.10499999999996,81.4377963781794
1290C1200,150.78985159817353,554.0999999999999,94.9,139.5,194.1,280.6,70.0606099123204
1290C1180,261.6413013698631,723.8999999999995,184.67499999999998,250.00000000000006,329.32500000000005,432.3099999999996,96.28602851538831
1290C1220,112.4243493150685,510.69999999999993,65.5,98.5,145.125,232.20499999999998,61.889004420566216
1290C1210,179.26454337899543,688.1999999999997,123.4,167.50000000000003,227.12500000000003,306.5099999999998,71.0647798005016
1290C1190,158.34374429223746,667.2999999999998,102.0,148.20000000000005,202.32500000000005,287.9,71.7856330736732
1290C1230,126.72750000000002,571.5,79.3,115.5,161.2,249.10499999999993,63.877033625040426
1290B5010,202.4328767123288,685.4,137.2,191.8,256.8,348.3099999999999,81.84538558402794
1290A0080,301.7825684931507,779.3999999999996,212.80000000000004,286.65,379.7249999999999,495.3999999999999,108.84297782654438
1290A0090,244.0646461187215,639.5999999999999,169.9,231.75000000000003,308.325,407.6999999999999,91.98894697802875
1290A0100,145.09117579908678,537.9000000000001,93.9,134.1,185.5,271.3,67.66393771885157
1273C1010,262.9076712328767,688.0999999999998,192.90000000000003,246.7,324.5999999999999,424.0999999999998,88.2366459104536
1273A0020,250.5700114155251,594.5999999999999,181.77500000000003,232.60000000000005,311.825,408.805,86.49078661847324
1273A0010,186.3181506849315,596.3999999999999,133.8,173.20000000000002,232.42500000000007,313.00499999999994,68.4770901644336
1273C1020,240.8926712328767,613.7999999999997,172.70000000000002,225.60000000000002,300.9,396.0999999999999,85.71283652248563
1273C1030,205.84994292237445,600.9999999999998,143.8,192.75000000000003,258.5,346.60499999999985,77.64051242742619
1273C1040,246.191404109589,767.8,173.60000000000002,234.10000000000002,308.5,407.49999999999983,89.9079125379152
1273C1050,256.51344748858446,698.1,180.7,244.95000000000002,320.8999999999999,424.9049999999999,94.34900198022468
1273B2010,311.39246575342463,778.8999999999999,226.07500000000005,294.65,387.3999999999999,500.60499999999985,105.5694997886195
1273A0030,246.18793378995431,608.6999999999999,174.90000000000003,234.70000000000005,307.8999999999999,404.10499999999996,88.41618227000033
