,Unnamed: 0,Kommun,Kommunnamn,Antal Bilar,Kommungrupp 2023,Travel (km),Travel +-,Boende totalt Antal,E,N,geom_Length,geom_Area,mean,max,25%,50%,75%,95%,std
1276C1010,89,1276,Klippan,1199,Pendlingskommun nära större stad,25,3,2607,385246,6220091,12223.76101,6127003.168,300.6163812785388,846.4999999999999,213.90000000000003,284.70000000000005,378.42499999999995,487.0999999999997,106.55005606180225
1276C1050,90,1276,Klippan,629,Pendlingskommun nära större stad,25,3,1520,385246,6220091,12529.77555,3486662.649,177.02472602739726,677.0,115.8,165.7,223.75000000000003,320.91499999999974,78.24369373683477
1276C1020,91,1276,Klippan,969,Pendlingskommun nära större stad,25,3,2113,385246,6220091,8624.080161,3541966.317,239.24418949771692,658.1,167.60000000000002,224.90000000000003,300.9,398.20499999999987,88.29570889709767
1276C1030,92,1276,Klippan,884,Pendlingskommun nära större stad,25,3,1721,385246,6220091,4732.565502,1063412.138,221.0319292237443,674.0999999999999,152.3,207.40000000000003,281.1,367.60499999999996,84.2724330541916
1276C1040,93,1276,Klippan,926,Pendlingskommun nära större stad,25,3,1526,385246,6220091,10388.52188,5528911.558,232.0564383561644,589.8,163.20000000000002,218.5,292.8,385.8999999999999,85.79088433385259
1272A0010,94,1272,Bromölla,864,Pendlingskommun nära större stad,25,3,1369,468633,6214465,113377.2214,138313380.4,215.73711187214613,554.0999999999998,150.75,203.3,271.8,362.7,81.68483771214588
1272B3010,95,1272,Bromölla,828,Pendlingskommun nära större stad,25,3,1311,467296,6211062,23404.34637,22797781.92,221.60809360730596,683.1,151.10000000000002,210.50000000000003,280.0,381.6149999999998,88.99791265613173
1272C1010,96,1272,Bromölla,1277,Pendlingskommun nära större stad,25,3,2664,468633,6214465,20305.96414,11942954.76,323.86309360730587,754.9999999999998,231.50000000000003,309.0,405.625,517.9049999999999,111.8544986097973
1272C1020,97,1272,Bromölla,1157,Pendlingskommun nära större stad,25,3,2467,468633,6214465,9433.768815,2649666.793,287.4254566210046,737.9,203.375,272.3,361.8,472.1,103.79380930040742
1272C1030,98,1272,Bromölla,906,Pendlingskommun nära större stad,25,3,1800,468633,6214465,8466.567327,3196492.047,229.73841324200913,654.3999999999999,159.675,217.6,289.02500000000003,384.50499999999994,86.47678332689095
1272C1040,99,1272,Bromölla,842,Pendlingskommun nära större stad,25,3,1646,468633,6214465,10237.39474,5036947.318,216.90901826484017,708.0,149.10000000000002,204.8,274.325,365.50499999999994,84.28336518925956
1272B2010,100,1272,Bromölla,771,Pendlingskommun nära större stad,25,3,1376,468633,6214465,14677.14592,11986134.92,200.39038812785392,696.3999999999997,134.675,188.7,253.70000000000005,346.10499999999996,81.76770236037959
1283A0040,101,1283,Helsingborg,707,Större stad,21,2,1178,359885,6226823,54883.59333,53080337.23,162.87565068493151,529.0999999999998,107.80000000000003,151.3,206.32500000000005,294.0,71.6552359333108
1283C1460,102,1283,Helsingborg,577,Större stad,21,2,1889,357269,6213746,1307.501325,86694.8941,137.01609589041098,539.1,86.69999999999999,124.00000000000003,174.3,262.705,66.86636014312244
1283C1440,103,1283,Helsingborg,652,Större stad,21,2,1790,357269,6213746,2012.849825,176679.5685,151.64520547945204,578.4000000000001,97.90000000000002,139.05,192.70000000000005,279.50499999999994,69.88382442587549
1283C1180,104,1283,Helsingborg,766,Större stad,21,2,1574,358942,6209795,3833.159725,626764.2785,175.54696347031964,559.5999999999999,116.40000000000002,165.75,223.125,312.4049999999999,74.68820943596656
1283C1390,105,1283,Helsingborg,617,Större stad,21,2,1682,357269,6213746,2852.899677,334059.7288,144.0176369863014,540.8,93.60000000000002,131.3,183.3,268.10499999999996,66.7619709357412
1283C1380,106,1283,Helsingborg,644,Större stad,21,2,2008,357269,6213746,3047.066246,370088.2437,150.46400684931507,652.8,94.8,138.50000000000003,192.2,279.1,69.86507047053568
1283C1450,107,1283,Helsingborg,490,Större stad,21,2,1733,357269,6213746,5192.581356,1038255.842,120.27553652968038,596.2,72.6,107.35,153.925,240.3,63.99574691838336
1283C1510,108,1283,Helsingborg,696,Större stad,21,2,2082,357269,6213746,1911.681476,211556.6161,161.06694063926946,740.0,104.80000000000003,149.6,204.2,294.305,72.75141010863463
1283C1230,109,1283,Helsingborg,396,Större stad,21,2,1963,357269,6213746,1747.656537,106076.0624,119.97360730593608,556.3,65.0,102.0,156.10000000000002,268.32499999999965,74.97996785259895
1283C1240,110,1283,Helsingborg,417,Större stad,21,2,1864,356328,6212211,1675.832592,133154.6794,106.70740867579909,554.5,61.7,93.05000000000001,135.02500000000003,229.8,61.68952051473336
1283C1410,111,1283,Helsingborg,784,Större stad,21,2,1971,357269,6213746,2061.060151,238802.7581,177.53046803652967,785.9999999999998,119.1,166.70000000000002,224.52500000000003,312.8099999999999,75.1138596842579
1283C1370,112,1283,Helsingborg,668,Större stad,21,2,1970,357269,6213746,5714.210008,1057021.5,156.53182648401827,582.8000000000001,101.00000000000003,144.9,199.7,289.1149999999998,72.04377980953626
