OBJECTID;uuid;deso;kommun;lan;kommunnamn;lannamn;version;Field1;key_0;Deso_1;Station;Boende_totalt_Antal;Antal_Bilar;Bilar_småhus;Bilar_flerbostadshus;Antal_personer_i_småhus;Antal_personer_i_flerbostadshus;Laddpunkter;Kommungrupp_2023;Travel__km_;Travel___;Shape_Length;Shape_Area;max_aadtfordon;sum_Length_KILOMETERS;Polyline_Count;CITY
78;{0E266CAB-6593-4B80-94DF-45109404BDFD};1256A0030;1256;12;Östra Göinge;Skåne;2018_v2;8;Östra Göinge;1256A0030;ARKELSTORP;1175;713;667;46;1162;0;42;Pendlingskommun nära större stad;25;3;143494.674;206595005.7;6072;97.45189897;47;No
79;{D2204084-8D7E-4D6A-AECF-863C27925890};1278C1020;1278;12;Båstad;Skåne;2018_v2;256;Båstad;1278C1020;GREVIE;2167;1052;596;456;1261;761;63;Landsbygdskommun med besöksnäring;28;9;9529.721405;3314767.867;8581;2.928176886;10;No
80;{2FFB0298-B1AC-412F-B36F-B3CFF65C6F0C};1278B3010;1278;12;Båstad;Skåne;2018_v2;257;Båstad;1278B3010;GREVIE;1136;696;508;188;954;154;41;Landsbygdskommun med besöksnäring;28;9;29192.58552;36197636.94;2714;7.719732005;11;No
81;{2BC6FA34-E092-479D-A444-8B7BECCA21FA};1273A0030;1273;12;Osby;Skåne;2018_v2;248;Osby;1273A0030;BJÄRNUM_V;1311;753;646;107;1161;95;45;Pendlingskommun nära mindre tätort;33;5;67173.83272;104624503.8;5650;55.42927523;50;No
82;{B8AA6351-6BEA-46D9-B82D-1AECBF0CC301};1281C1230;1281;12;Lund;Skåne;2018_v2;258;Lund;1281C1230;LUND_SM;2044;750;689;61;1659;376;45;Större stad;21;2;3528.660415;688925.1712;0;0;0;Large
83;{B6857E37-F31A-4A28-9BC0-51006B756381};1280C1720;1280;12;Malmö;Skåne;2018_v2;332;Malmö;1280C1720;GULLÄNGEN;1689;332;0;332;0;1664;19;Storstäder;22;5;1447.162422;114341.6026;0;0;0;Large
84;{0862873C-679A-460B-8FAE-AD066ADD9883};1281C1270;1281;12;Lund;Skåne;2018_v2;259;Lund;1281C1270;LUND_VM;1801;519;133;386;336;1362;31;Större stad;21;2;2268.13264;279823.8081;0;0;0;Large
85;{C8B6D8D3-AC13-4E98-B250-E17789186D64};1281C1250;1281;12;Lund;Skåne;2018_v2;260;Lund;1281C1250;LUND_VM;1802;447;35;412;110;1534;26;Större stad;21;2;2246.639472;249194.0612;0;0;0;Large
86;{96C2D666-0349-47D2-BC68-8CA7ADE5B09B};1281C1040;1281;12;Lund;Skåne;2018_v2;261;Lund;1281C1040;LUND_SM;1369;317;3;314;7;1353;19;Större stad;21;2;1693.060692;96265.79845;0;0;0;Large
87;{6D4300DB-24FF-4B8A-B334-FF72F61A537C};1281C1050;1281;12;Lund;Skåne;2018_v2;262;Lund;1281C1050;LUND_VM;1637;561;0;561;0;1625;33;Större stad;21;2;1708.542133;150057.7343;0;0;0;Large
88;{278F107B-80B9-4D62-8BC5-37DE287E1049};1281C1010;1281;12;Lund;Skåne;2018_v2;263;Lund;1281C1010;LUND_SM;1795;576;94;482;231;1535;34;Större stad;21;2;5763.22653;1062786.783;25305;5.811993798;24;Large
89;{75534DB3-3D41-4602-BFFB-D290556F02D1};1281C1060;1281;12;Lund;Skåne;2018_v2;264;Lund;1281C1060;LUND_SM;1882;604;429;175;1218;511;36;Större stad;21;2;2942.702211;526542.0224;5470;0.727968713;2;Large
90;{56630FAC-853A-4E3F-9501-3D84D73A7DF4};1233B2050;1233;12;Vellinge;Skåne;2018_v2;524;Vellinge;1233B2050;FOTEVIK;2274;1182;1153;29;2168;61;70;Pendlingskommun nära storstad;29;4;14378.71727;6805468.855;4796;1.003117748;1;Medium
91;{82950033-1F55-4C5E-807B-73C534B35C61};1286C1090;1286;12;Ystad;Skåne;2018_v2;545;Ystad;1286C1090;RYDSGÅRD;1605;690;391;299;788;817;41;Mindre stad/tätort;22;3;3121.229139;502517.6041;8500;1.184316896;8;Medium
