deso,Final Probability
1257A0020,0.00038345544563298434
1293A0080,0.0004242091644925285
1257A0030,0.0007054329801454629
1278A0010,0.0012967092364400436
1256A0030,0.0007030016503271378
1278C1020,0.0009934876748117869
1278B3010,0.0003142204346159177
1273A0030,0.0006541434987398434
1281C1230,0.0017316841103710756
1280C1720,0.0017316841103710756
1281C1270,0.0017316841103710756
1281C1250,0.0017316841103710756
1281C1040,0.0017316841103710756
1281C1050,0.0017316841103710756
1281C1010,0.004661436541452799
1281C1060,0.0023649876392395613
1233B2050,0.0019158783633242775
1286C1090,0.0023447186322326633
1233B3010,0.0013606089438629875
1282C1070,0.0013606089438629875
1233B2010,0.00144003238459494
1233B3030,0.0013606089438629875
1286C1060,0.0023481919605445566
1286C1070,0.0023447186322326633
1280C1690,0.0017316841103710756
1280C1630,0.0017316841103710756
1280C1750,0.0017316841103710756
1280C1640,0.0017316841103710756
1280C1520,0.0017316841103710756
1280C1760,0.0017316841103710756
1280C1880,0.0017316841103710756
1280C1860,0.0017316841103710756
1280C1900,0.0017316841103710756
1280C1930,0.0017316841103710756
1280C1850,0.0017316841103710756
1280C2680,0.0017316841103710756
1280C2600,0.0029883342936139535
1280C2750,0.0017316841103710756
1280C2780,0.0017316841103710756
1280C2800,0.0017316841103710756
1280C2130,0.0017316841103710756
1280C2240,0.0017316841103710756
1280C2290,0.0017316841103710756
1280C2200,0.0017316841103710756
1280C2230,0.0017316841103710756
1280C2300,0.0017316841103710756
1280C2310,0.0017316841103710756
1287C1080,0.0014071515432423534
1287C1040,0.002820333055741208
1287C1060,0.001962768295534833
1280C2080,0.0017316841103710756
1287B2010,0.0003549741534754619
1287C1050,0.0018160780631625527
1233B2060,0.001898859054596002
1287A0020,0.00024070165201418305
1280C2000,0.0017316841103710756
1287C1010,0.0005226201333294961
1287C1030,0.0019800191594839013
1287C1070,0.001963347183586815
1287C1020,0.0017972063126679343
1287C1120,0.0020521486107608787
1287C1100,0.0017185933152087567
1287C1130,0.0013606089438629875
1280C1940,0.0017316841103710756
1280C1970,0.0017316841103710756
1280C1980,0.0017316841103710756
1287B2020,0.00029720112588764214
1281C1180,0.0017316841103710756
1265A0050,0.0006361979691283964
1281C1190,0.002748327307262149
1230A0020,0.001015716976007902
1265A0040,0.000179107963283281
1287C1090,0.003065318479340059
1280C2270,0.0017316841103710756
1287C1110,0.001536938244496754
1287C1150,0.0019289612332990744
1280C1210,0.0017316841103710756
1280C1240,0.0017316841103710756
1291A0020,0.00045141690293569014
1284C1010,0.0005876871503722912
1263C1040,0.0005543431985781186
1287C1140,0.0013606089438629875
1285C1060,0.0013606089438629875
1283C1460,0.0017316841103710756
1283C1440,0.0017316841103710756
1280C2730,0.0017316841103710756
1287C1160,0.0013606089438629875
1287C1170,0.0020856083401654475
1287C1180,0.001553494442783444
1287C1190,0.0008868564956366726
1233B3020,0.0013606089438629875
1280C1090,0.0017316841103710756
1233B2040,0.0015128565015342962
1286C1020,0.0013606089438629875
1286C1010,0.0013606089438629875
1286C1030,0.0013606089438629875
1233B2020,0.0018328658166700353
1286C1040,0.001898859054596002
1286C1050,0.0013606089438629875
1233B2070,0.0022253519159139415
1233B2030,0.001796627424615952
1287A0010,0.0003589105922289406
1264B3010,0.00037164612937254816
1280C1140,0.0017316841103710756
1264A0010,0.00039839075737412407
1280C2030,0.0017316841103710756
1280C2060,0.0017316841103710756
1287B3010,0.000353121711709119
1280C2490,0.0017316841103710756
1280C2520,0.0017316841103710756
1286C1080,0.0027116178795789578
1280C2410,0.0017316841103710756
1280C2330,0.0017316841103710756
1280C2450,0.0017316841103710756
1286C1100,0.002268884297423
1233B3040,0.002073451691073822
1286B2020,1.968219376739352e-06
1280C2400,0.0017316841103710756
1280C2460,0.0017316841103710756
1280C2480,0.0017316841103710756
1280C2470,0.0017316841103710756
1280C2510,0.0017316841103710756
1280C2440,0.0017316841103710756
1291B5010,0.00029824312438121
1286B2010,0.0006463863988432824
1287A0030,0.0005682365118256905
1280C1160,0.0017316841103710756
1233B2080,0.0022100692713416126
